"","Div","Date","HomeTeam","AwayTeam","FTR","FTHG","FTAG","PSCH","PSCD","PSCA"
"23","SP1","26/08/2023","Cadiz","Almeria","D",1,1,2.15,3.49,3.68
"24","SP1","26/08/2023","Granada","Mallorca","H",3,2,2.81,3.01,3.03
"25","SP1","26/08/2023","Sevilla","Girona","A",1,2,1.98,3.6,4.17
"26","SP1","27/08/2023","Villarreal","Barcelona","A",3,4,3.57,3.75,2.1
"27","SP1","27/08/2023","Valencia","Osasuna","A",1,2,1.76,3.52,5.51
"28","SP1","27/08/2023","Ath Bilbao","Betis","H",4,2,2,3.43,4.3
"29","SP1","28/08/2023","Getafe","Alaves","H",1,0,2.62,2.71,3.68
"30","SP1","28/08/2023","Vallecano","Ath Madrid","A",0,7,4.05,3.38,2.08
"31","SP1","01/09/2023","Cadiz","Villarreal","H",3,1,3.27,3.66,2.25
"32","SP1","01/09/2023","Almeria","Celta","A",2,3,2.95,3.38,2.58
"33","SP1","02/09/2023","Sociedad","Granada","H",5,3,1.47,4.54,7.92
"34","SP1","02/09/2023","Real Madrid","Getafe","H",2,1,1.37,4.91,10.26
"35","SP1","02/09/2023","Alaves","Valencia","H",1,0,3.33,2.98,2.59
"36","SP1","02/09/2023","Betis","Vallecano","H",1,0,2.09,3.35,4.07
"37","SP1","03/09/2023","Girona","Las Palmas","H",1,0,1.74,3.88,5.15
"38","SP1","03/09/2023","Mallorca","Ath Bilbao","D",0,0,3.24,3.02,2.63
"39","SP1","03/09/2023","Osasuna","Barcelona","A",1,2,6.77,4.67,1.5
"40","SP1","15/09/2023","Vallecano","Alaves","H",2,0,2.04,3.27,4.41
"41","SP1","16/09/2023","Ath Bilbao","Cadiz","H",3,0,1.61,4.01,6.42
"42","SP1","16/09/2023","Valencia","Ath Madrid","H",3,0,3.53,3.22,2.33
"43","SP1","16/09/2023","Celta","Mallorca","A",0,1,2.13,3.14,4.29
"44","SP1","16/09/2023","Barcelona","Betis","H",5,0,1.32,6.05,9.44
"45","SP1","17/09/2023","Getafe","Osasuna","H",3,2,2.69,2.95,3.21
"46","SP1","17/09/2023","Villarreal","Almeria","H",2,1,1.53,4.98,5.73
"47","SP1","17/09/2023","Sevilla","Las Palmas","H",1,0,1.6,4.15,6.24
"48","SP1","17/09/2023","Real Madrid","Sociedad","H",2,1,1.75,3.77,5.23
"49","SP1","18/09/2023","Granada","Girona","A",2,4,3.01,3.58,2.43
"50","SP1","22/09/2023","Alaves","Ath Bilbao","A",0,2,4.25,3.1,2.16
"51","SP1","23/09/2023","Girona","Mallorca","H",5,3,1.91,3.4,4.88
"52","SP1","23/09/2023","Osasuna","Sevilla","D",0,0,2.45,3.24,3.28
"53","SP1","23/09/2023","Barcelona","Celta","H",3,2,1.26,6.77,12.3
"54","SP1","23/09/2023","Almeria","Valencia","D",2,2,2.72,3.43,2.76
"55","SP1","24/09/2023","Sociedad","Getafe","H",4,3,1.71,3.43,6.71
"56","SP1","24/09/2023","Vallecano","Villarreal","D",1,1,2.64,3.53,2.78
"57","SP1","24/09/2023","Betis","Cadiz","D",1,1,1.81,3.66,5.07
"58","SP1","24/09/2023","Las Palmas","Granada","H",1,0,1.95,3.73,4.1
"59","SP1","24/09/2023","Ath Madrid","Real Madrid","H",3,1,2.87,3.38,2.65
"60","SP1","26/09/2023","Sevilla","Almeria","H",5,1,1.71,3.97,5.18
"61","SP1","26/09/2023","Mallorca","Barcelona","D",2,2,7.5,4.4,1.5
"62","SP1","27/09/2023","Ath Bilbao","Getafe","D",2,2,1.53,4.06,7.73
"63","SP1","27/09/2023","Real Madrid","Las Palmas","H",2,0,1.18,8,16.5
"64","SP1","27/09/2023","Villarreal","Girona","A",1,2,2.17,3.72,3.42
"65","SP1","27/09/2023","Cadiz","Vallecano","D",0,0,2.72,3.11,3
"66","SP1","27/09/2023","Valencia","Sociedad","A",0,1,2.57,3.02,3.31
"67","SP1","28/09/2023","Celta","Alaves","D",1,1,1.59,3.99,6.84
"68","SP1","28/09/2023","Granada","Betis","D",1,1,2.79,3.46,2.68
"69","SP1","28/09/2023","Osasuna","Ath Madrid","A",0,2,4.21,3.48,2.01
"70","SP1","29/09/2023","Barcelona","Sevilla","H",1,0,1.35,5.74,8.7
"71","SP1","30/09/2023","Getafe","Villarreal","D",0,0,2.79,3.14,2.86
"72","SP1","30/09/2023","Vallecano","Mallorca","D",2,2,2.03,3.26,4.46
"73","SP1","30/09/2023","Girona","Real Madrid","A",0,3,4.08,4.06,1.88
"74","SP1","30/09/2023","Sociedad","Ath Bilbao","H",3,0,2.32,3.14,3.66
"75","SP1","01/10/2023","Almeria","Granada","D",3,3,1.98,3.73,3.99
"76","SP1","01/10/2023","Alaves","Osasuna","A",0,2,2.59,3.02,3.32
"77","SP1","01/10/2023","Ath Madrid","Cadiz","H",3,2,1.34,5.31,10.48
"78","SP1","01/10/2023","Betis","Valencia","H",3,0,2.07,3.41,4.04
"79","SP1","02/10/2023","Las Palmas","Celta","H",2,1,3.02,3.09,2.72
"80","SP1","06/10/2023","Ath Bilbao","Almeria","H",3,0,1.32,5.66,9.41
"81","SP1","07/10/2023","Cadiz","Girona","A",0,1,3.39,3.43,2.22
"82","SP1","07/10/2023","Real Madrid","Osasuna","H",4,0,1.27,6.43,11.77
"83","SP1","07/10/2023","Mallorca","Valencia","D",1,1,2.57,3,3.35
"84","SP1","07/10/2023","Sevilla","Vallecano","D",2,2,1.83,3.79,4.65
"85","SP1","08/10/2023","Villarreal","Las Palmas","A",1,2,1.65,4.12,5.59
"86","SP1","08/10/2023","Ath Madrid","Sociedad","H",2,1,2.04,3.4,4.39
"87","SP1","08/10/2023","Alaves","Betis","D",1,1,2.57,3.25,3.06
"88","SP1","08/10/2023","Celta","Getafe","D",2,2,2.04,3.29,4.38
"89","SP1","08/10/2023","Granada","Barcelona","D",2,2,6.83,5.19,1.45
"90","SP1","20/10/2023","Osasuna","Granada","H",2,0,1.69,3.89,5.67
"91","SP1","21/10/2023","Sociedad","Mallorca","H",1,0,1.69,3.59,6.36
"92","SP1","21/10/2023","Getafe","Betis","D",1,1,2.49,3.15,3.29
"93","SP1","21/10/2023","Sevilla","Real Madrid","D",1,1,4.8,4.13,1.74
"94","SP1","21/10/2023","Celta","Ath Madrid","A",0,3,3.43,3.55,2.23
"95","SP1","22/10/2023","Las Palmas","Vallecano","A",0,1,2.66,3.04,3.15
"96","SP1","22/10/2023","Girona","Almeria","H",5,2,1.39,5.33,8.24
"97","SP1","22/10/2023","Villarreal","Alaves","D",1,1,2.09,3.36,4.05
"98","SP1","22/10/2023","Barcelona","Ath Bilbao","H",1,0,1.86,3.79,4.49
"99","SP1","23/10/2023","Valencia","Cadiz","H",2,0,1.68,3.67,6.07
"100","SP1","27/10/2023","Girona","Celta","H",1,0,1.75,4.12,4.63
"101","SP1","28/10/2023","Almeria","Las Palmas","A",1,2,2.31,3.3,3.42
"102","SP1","28/10/2023","Barcelona","Real Madrid","A",1,2,2.58,3.49,2.83
"103","SP1","28/10/2023","Mallorca","Getafe","D",0,0,2.33,2.96,3.9
"104","SP1","28/10/2023","Cadiz","Sevilla","D",2,2,3.9,3.49,2.08
"105","SP1","29/10/2023","Betis","Osasuna","H",2,1,1.99,3.47,4.21
"106","SP1","29/10/2023","Vallecano","Sociedad","D",2,2,3.38,3.16,2.42
"107","SP1","29/10/2023","Ath Bilbao","Valencia","D",2,2,1.65,3.97,5.83
"108","SP1","29/10/2023","Ath Madrid","Alaves","H",2,1,1.45,4.57,8.2
"109","SP1","30/10/2023","Granada","Villarreal","A",2,3,2.99,3.64,2.39
"110","SP1","03/11/2023","Las Palmas","Ath Madrid","H",2,1,5.56,3.69,1.72
"111","SP1","04/11/2023","Osasuna","Girona","A",2,4,2.99,3.31,2.56
"112","SP1","04/11/2023","Betis","Mallorca","H",2,0,1.9,3.45,4.68
"113","SP1","04/11/2023","Celta","Sevilla","D",1,1,2.41,3.41,3.13
"114","SP1","04/11/2023","Sociedad","Barcelona","A",0,1,3.38,3.29,2.33
"115","SP1","05/11/2023","Alaves","Almeria","H",1,0,1.77,3.77,4.99
"116","SP1","05/11/2023","Valencia","Granada","H",1,0,1.67,4.15,5.29
"117","SP1","05/11/2023","Villarreal","Ath Bilbao","A",2,3,3.82,3.94,1.95
"118","SP1","05/11/2023","Real Madrid","Vallecano","D",0,0,1.22,6.9,13.8
"119","SP1","06/11/2023","Getafe","Cadiz","H",1,0,2.08,3.1,4.41
"120","SP1","10/11/2023","Ath Bilbao","Celta","H",4,3,1.71,4.04,5.04
"121","SP1","11/11/2023","Vallecano","Girona","A",1,2,2.99,3.5,2.46
"122","SP1","11/11/2023","Almeria","Sociedad","A",1,3,4.38,3.8,1.85
"123","SP1","11/11/2023","Granada","Getafe","D",1,1,2.49,3.19,3.19
"124","SP1","11/11/2023","Osasuna","Las Palmas","D",1,1,1.97,3.36,4.47
"125","SP1","11/11/2023","Real Madrid","Valencia","H",5,1,1.32,5.79,10.11
"126","SP1","12/11/2023","Barcelona","Alaves","H",2,1,1.25,6.51,12.09
"127","SP1","12/11/2023","Sevilla","Betis","D",1,1,2.24,3.46,3.42
"128","SP1","12/11/2023","Ath Madrid","Villarreal","H",3,1,1.34,5.81,8.91
"129","SP1","24/11/2023","Alaves","Granada","H",3,1,1.74,3.67,5.45
"130","SP1","25/11/2023","Vallecano","Barcelona","D",1,1,5,4.25,1.68
"131","SP1","25/11/2023","Valencia","Celta","D",0,0,2.3,3.32,3.44
"132","SP1","25/11/2023","Getafe","Almeria","H",2,1,1.78,3.68,5.06
"133","SP1","25/11/2023","Ath Madrid","Mallorca","H",1,0,1.36,5.1,9.85
"134","SP1","26/11/2023","Villarreal","Osasuna","H",3,1,2.2,3.46,3.52
"135","SP1","26/11/2023","Sociedad","Sevilla","H",2,1,1.63,3.95,6.09
"136","SP1","26/11/2023","Cadiz","Real Madrid","A",0,3,6.9,4.7,1.48
"137","SP1","26/11/2023","Betis","Las Palmas","H",1,0,1.72,3.74,5.55
"138","SP1","27/11/2023","Girona","Ath Bilbao","D",1,1,2.27,3.66,3.17
"139","SP1","29/11/2023","Mallorca","Cadiz","D",1,1,1.87,3.33,5.15
